"","day","time","junk1","junk2","Nflasks","quality","co2","date"
"122","1966-04-01"," 08:35",24198.36,1966.248,2,0,323.86,1966-04-01 08:35:00
"123","1966-04-13"," 06:50",24210.28,1966.28,2,2,NA,1966-04-13 06:50:00
"124","1966-05-16"," 22:15",24243.93,1966.372,2,2,NA,1966-05-16 22:15:00
"125","1966-06-15"," 23:00",24273.96,1966.455,2,2,NA,1966-06-15 23:00:00
"126","1966-07-07"," 04:55",24295.2,1966.513,2,2,NA,1966-07-07 04:55:00
"127","1966-09-05"," 07:00",24355.29,1966.678,2,2,NA,1966-09-05 07:00:00
"128","1966-10-01"," 08:25",24381.35,1966.749,2,0,319.04,1966-10-01 08:25:00
"129","1966-10-24"," 06:30",24404.27,1966.812,2,2,NA,1966-10-24 06:30:00
"130","1966-11-25"," 08:30",24436.35,1966.9,2,0,320.22,1966-11-25 08:30:00
"131","1966-12-08"," 08:50",24449.37,1966.935,2,0,320.9,1966-12-08 08:50:00
"132","1967-01-03"," 22:00",24475.92,1967.008,2,2,NA,1967-01-03 22:00:00
"133","1967-02-01"," 20:30",24504.85,1967.087,2,2,NA,1967-02-01 20:30:00
"134","1967-02-15"," 10:00",24518.42,1967.124,2,4,NA,1967-02-15 10:00:00
"135","1967-04-24"," 06:40",24586.28,1967.31,2,2,NA,1967-04-24 06:40:00
"136","1967-05-20"," 20:30",24612.85,1967.383,2,2,NA,1967-05-20 20:30:00
"137","1967-06-06"," 08:15",24629.34,1967.428,2,0,325.19,1967-06-06 08:15:00
"138","1967-06-19"," 07:00",24642.29,1967.464,2,2,NA,1967-06-19 07:00:00
"139","1967-07-06"," 08:00",24659.33,1967.511,2,0,323.31,1967-07-06 08:00:00
"140","1967-09-19"," 22:20",24734.93,1967.718,2,4,NA,1967-09-19 22:20:00
"141","1967-10-05"," 06:20",24750.26,1967.76,2,4,NA,1967-10-05 06:20:00
"142","1967-11-18"," 18:30",24794.77,1967.882,1,4,NA,1967-11-18 18:30:00
"143","1967-12-07"," 22:20",24813.93,1967.934,2,2,NA,1967-12-07 22:20:00
"144","1967-12-18"," 07:00",24824.29,1967.962,2,2,NA,1967-12-18 07:00:00
"145","1968-01-01"," 22:15",24838.93,1968.003,2,2,NA,1968-01-01 22:15:00
"146","1968-01-19"," 07:00",24856.29,1968.05,1,4,NA,1968-01-19 07:00:00
